Unnamed: 0,word,lemma,onset,offset,logfreq,pos,section,top_down,bottom_up,left_corner
5470,say,say,1968.1759999999997,1968.4559999999997,5.972689391781648,VERB,4,2,1,2
5471,the,the,1968.4559999999997,1968.5259999999998,11.115800481137065,DET,4,2,1,2
5472,king,king,1968.5259999999998,1968.9099999999999,5.549465114271844,NOUN,4,1,13,2
5473,sire,sire,1969.5339999999997,1970.0639999999999,1.249185147147484,VERB,4,3,2,3
5474,over,over,1970.3329999999996,1970.5779999999997,6.808928924675242,ADP,4,3,2,3
5475,what,what,1970.5779999999997,1970.8379999999997,7.344589846836358,PRON,4,3,2,3
5476,do,do,1970.8379999999997,1970.9679999999998,7.253965659872986,AUX,4,3,1,2
5477,you,you,1970.9679999999998,1971.1279999999997,7.992843190830359,PRON,4,3,2,3
5478,rule,rule,1971.1279999999997,1971.6079999999997,5.078605420535523,VERB,4,2,8,3
5479,over,over,1972.3109999999997,1972.6719999999998,6.808928924675242,ADP,4,3,1,2
5480,everything,everything,1972.6719999999998,1973.2709999999997,4.843162940152507,PRON,4,1,2,2
5481,said,said,1973.4859999999999,1973.7009999999998,6.866599895560644,VERB,4,2,1,2
5482,the,the,1973.7009999999998,1973.7909999999997,11.115800481137065,DET,4,2,1,2
5483,king,king,1973.7909999999997,1974.1409999999996,5.549465114271844,NOUN,4,1,2,2
5484,with,with,1974.1409999999996,1974.2609999999997,8.78902023454392,ADP,4,2,1,2
5485,a,a,1974.2609999999997,1974.2909999999997,9.87220326249636,DET,4,2,1,2
5486,magnificent,magnificent,1974.2909999999997,1975.2609999999997,2.8668187734606527,ADJ,4,1,1,1
5487,simplicity,simplicity,1975.2609999999997,1975.9699999999998,2.904110284006678,NOUN,4,1,5,2
5488,over,over,1976.6979999999999,1977.0029999999997,6.808928924675242,ADP,4,3,1,2
5489,everything,everything,1977.0029999999997,1977.7379999999998,4.843162940152507,PRON,4,2,3,3
5490,the,the,1978.4169999999997,1978.7119999999998,11.115800481137065,DET,4,3,1,2
5491,king,king,1978.7119999999998,1979.0819999999999,5.549465114271844,NOUN,4,1,2,2
5492,made,made,1979.0819999999999,1979.2819999999997,6.839401488953406,VERB,4,2,1,2
5493,a,a,1979.2819999999997,1979.3219999999997,9.87220326249636,DET,4,3,1,2
5494,subtle,subtle,1979.3219999999997,1979.8519999999999,2.9182030710447533,ADJ,4,2,1,2
5495,gesture,gesture,1979.8519999999999,1980.3819999999998,2.6525374911719517,NOUN,4,1,3,2
5496,pointing,pointing,1980.3819999999998,1980.8419999999996,2.9768552177843017,VERB,4,4,1,2
5497,out,out,1980.8419999999996,1981.0819999999999,7.190751389443204,ADP,4,2,3,3
5498,his,his,1981.0819999999999,1981.2819999999997,8.427771639559914,DET,4,3,1,2
5499,planet,planet,1981.2819999999997,1981.8419999999996,2.782229599276462,NOUN,4,1,2,2
5500,the,the,1981.8419999999996,1982.0619999999997,11.115800481137065,DET,4,2,1,2
5501,other,other,1982.0619999999997,1982.2819999999997,7.468056546208653,ADJ,4,2,1,2
5502,planets,planets,1982.2819999999997,1982.8119999999997,2.1875108851485803,NOUN,4,1,3,2
5503,and,and,1982.8119999999997,1982.9319999999998,10.263048328453316,CCONJ,4,1,1,1
5504,the,the,1982.9319999999998,1982.9919999999997,11.115800481137065,DET,4,2,1,2
5505,stars,stars,1982.9919999999997,1983.5789999999997,3.6605056994260896,NOUN,4,1,9,2
5506,over,over,1984.4119999999998,1984.7469999999998,6.808928924675242,ADP,4,3,1,2
5507,all,all,1984.7469999999998,1985.0069999999998,7.8677183393124785,DET,4,2,3,3
5508,that,that,1985.0069999999998,1985.5569999999998,9.22325659724273,DET,4,2,2,2
5509,asked,asked,1985.8109999999997,1986.1059999999998,5.393491173417632,VERB,4,2,1,2
5510,the,the,1986.1059999999998,1986.1859999999997,11.115800481137065,DET,4,2,1,2
5511,little,little,1986.1859999999997,1986.4259999999997,6.329168168121289,ADJ,4,1,1,1
5512,prince,prince,1986.4259999999997,1986.8459999999998,4.224934131925703,NOUN,4,1,4,2
5513,over,over,1987.4849999999997,1987.8299999999997,6.808928924675242,ADP,4,3,1,2
5514,all,all,1987.8299999999997,1988.1399999999999,7.8677183393124785,DET,4,1,2,2
5515,that,that,1988.1399999999999,1988.5939999999998,9.22325659724273,DET,4,2,1,2
5516,the,the,1988.8189999999997,1988.8839999999998,11.115800481137065,DET,4,3,1,2
5517,king,king,1988.8839999999998,1989.1259999999997,5.549465114271844,NOUN,4,1,2,2
5518,answered,answered,1989.1259999999997,1989.5939999999998,3.995113371960244,VERB,4,2,5,3
5519,for,for,1990.0419999999997,1990.1939999999997,9.022419166371732,ADP,4,3,1,2
5520,his,his,1990.1939999999997,1990.3269999999998,8.427771639559914,DET,4,4,2,3
5521,rule,rule,1990.3269999999998,1990.6869999999997,5.078605420535523,NOUN,4,2,3,3
5522,was,was,1990.6869999999997,1990.8569999999997,8.84891128785763,AUX,4,2,1,2
5523,not,not,1990.8569999999997,1991.0469999999998,8.652789949703957,PART,4,1,1,1
5524,only,only,1991.0469999999998,1991.3469999999998,7.270521632557186,ADV,4,2,1,2
5525,absolute,absolute,1991.3469999999998,1992.4569999999999,4.083030802321828,ADJ,4,1,5,2
5526,it,it,1992.4569999999999,1992.6479999999997,8.891153872448442,PRON,4,2,2,2
5527,was,was,1992.6479999999997,1992.8269999999998,8.84891128785763,AUX,4,2,1,2
5528,also,also,1992.8269999999998,1993.2169999999996,7.181591944611865,ADV,4,2,2,2
5529,universal,universal,1993.2169999999996,1993.9659999999997,4.070905330488338,ADJ,4,2,4,3
5530,and,and,1994.6989999999998,1994.8839999999998,10.263048328453316,CCONJ,4,2,1,2
5531,the,the,1994.8839999999998,1994.9539999999997,11.115800481137065,DET,4,2,1,2
5532,stars,stars,1994.9539999999997,1995.4349999999997,3.6605056994260896,NOUN,4,1,2,2
5533,obey,obey,1995.4349999999997,1995.8239999999998,2.6480878599295274,VERB,4,2,1,2
5534,you,you,1995.8239999999998,1996.0539999999996,7.992843190830359,PRON,4,2,4,3
5535,of,of,1996.6579999999997,1996.7329999999997,10.576559568665022,ADP,4,3,1,2
5536,course,course,1996.7329999999997,1997.2129999999997,5.824110417435814,NOUN,4,2,3,3
5537,the,the,1997.5719999999997,1997.6369999999997,11.115800481137065,DET,4,2,1,2
5538,king,king,1997.6369999999997,1997.8669999999997,5.549465114271844,NOUN,4,1,2,2
5539,said,said,1997.8669999999997,1998.2009999999998,6.866599895560644,VERB,4,2,3,3
5540,they,they,1998.5259999999998,1999.0009999999997,8.044690441969406,PRON,4,3,2,3
5541,obey,obey,1999.0009999999997,1999.4209999999998,2.6480878599295274,VERB,4,2,1,2
5542,instantly,instantly,1999.4209999999998,2000.0499999999997,2.7128387178340074,ADV,4,2,4,3
5543,i,i,2000.4739999999997,2000.6089999999997,8.500758884952813,PRON,4,3,2,3
5544,do,do,2000.6089999999997,2000.7189999999998,7.253965659872986,AUX,4,2,1,2
5545,not,not,2000.7189999999998,2000.8889999999997,8.652789949703957,PART,4,1,1,1
5546,tolerate,tolerate,2000.8889999999997,2001.3709999999996,1.984691205134025,VERB,4,2,1,2
5547,insubordination,insubordination,2001.3709999999996,2002.2329999999997,0.007472014838701,NOUN,4,2,5,3
5548,such,such,2003.4259999999997,2003.8809999999999,7.239071388453979,ADJ,4,3,1,2
5549,power,power,2003.8809999999999,2004.3209999999997,6.161354990116453,NOUN,4,1,2,2
5550,filled,filled,2004.3209999999997,2004.7109999999998,4.320576672357659,VERB,4,2,1,2
5551,the,the,2004.7109999999998,2004.8009999999997,11.115800481137065,DET,4,2,1,2
5552,little,little,2004.8009999999997,2005.0509999999997,6.329168168121289,ADJ,4,1,1,1
5553,prince,prince,2005.0509999999997,2005.4809999999998,4.224934131925703,NOUN,4,1,2,2
5554,with,with,2005.4809999999998,2005.6409999999996,8.78902023454392,ADP,4,2,1,2
5555,wonder,wonder,2005.6409999999996,2006.1149999999998,3.786709184456111,NOUN,4,2,5,3
5556,if,if,2006.4989999999998,2006.8839999999998,7.59155894453893,SCONJ,4,3,1,2
5557,he,he,2006.8839999999998,2007.0139999999997,8.557202055435473,PRON,4,3,2,3
5558,had,had,2007.0139999999997,2007.1729999999998,8.105337708286058,AUX,4,2,1,2
5559,held,held,2007.1729999999998,2007.4539999999997,5.423759882238551,VERB,4,2,1,2
5560,it,it,2007.4539999999997,2007.5639999999999,8.891153872448442,PRON,4,3,2,3
5561,himself,himself,2007.5639999999999,2008.2239999999997,5.97850594594359,PRON,4,2,7,3
5562,he,he,2008.2239999999997,2008.6439999999998,8.557202055435473,PRON,4,2,2,2
5563,would,would,2008.6439999999998,2008.8199999999997,7.530855461230048,VERB,4,2,1,2
5564,ve,have,2008.8199999999997,2008.9439999999997,8.165193017977023,AUX,4,2,1,2
5565,been,been,2008.9439999999997,2009.0539999999996,7.625497506397463,AUX,4,2,1,2
5566,able,able,2009.0539999999996,2009.3239999999998,5.444234241448191,ADJ,4,2,1,2
5567,to,to,2009.3239999999998,2009.4739999999997,10.106224294072677,PART,4,3,1,2
5568,watch,watch,2009.4739999999997,2009.8739999999998,3.995978049921598,VERB,4,2,1,2
5569,not,not,2009.8739999999998,2010.2439999999997,8.652789949703957,PART,4,2,1,2
5570,forty,forty,2010.2439999999997,2010.6439999999998,4.051454458415094,NUM,4,2,2,2
5571,four,four,2010.6439999999998,2011.1269999999997,5.807962293565865,NUM,4,3,2,3
5572,but,but,2011.3509999999997,2011.5759999999998,8.170553440359209,CCONJ,4,2,1,2
5573,seventy,seventy,2011.5759999999998,2012.0259999999998,3.076113385500804,NUM,4,2,1,2
5574,two,two,2012.0259999999998,2012.4559999999997,7.1771715426270255,NUM,4,1,4,2
5575,or,or,2012.4559999999997,2012.5459999999998,8.443245206463882,CCONJ,4,1,1,1
5576,even,even,2012.5459999999998,2012.8159999999998,6.754335998283981,ADV,4,3,1,2
5577,a,a,2012.8159999999998,2012.8959999999997,9.87220326249636,DET,4,2,1,2
5578,hundred,hundred,2012.8959999999997,2013.4419999999998,4.974662633637438,NUM,4,1,1,1
5579,or,or,2013.4419999999998,2013.5659999999998,8.443245206463882,CCONJ,4,1,1,1
5580,even,even,2013.5659999999998,2013.8259999999998,6.754335998283981,ADV,4,1,1,1
5581,two,two,2013.8259999999998,2014.1759999999997,7.1771715426270255,NUM,4,1,1,1
5582,hundred,hundred,2014.1759999999997,2014.6059999999998,4.974662633637438,NUM,4,1,2,2
5583,sunsets,sunsets,2014.6059999999998,2015.1759999999997,-0.5016511713864515,NOUN,4,1,2,2
5584,on,on,2015.1759999999997,2015.2759999999998,8.668539943910762,ADP,4,2,1,2
5585,the,the,2015.2759999999998,2015.3459999999998,11.115800481137065,DET,4,2,1,2
5586,same,same,2015.3459999999998,2015.6659999999997,6.672918629076881,ADJ,4,1,1,1
5587,day,day,2015.6659999999997,2015.9659999999997,6.3908109742079695,NOUN,4,1,5,2
5588,without,without,2015.9659999999997,2016.6959999999997,6.379206863561576,ADP,4,2,1,2
5589,ever,ever,2016.6959999999997,2016.8759999999997,5.571621571053862,ADV,4,3,2,3
5590,having,having,2016.8759999999997,2017.2259999999997,5.782532038887736,VERB,4,2,1,2
5591,to,to,2017.2259999999997,2017.3859999999997,10.106224294072677,PART,4,3,1,2
5592,move,move,2017.3859999999997,2017.5759999999998,4.778787302151899,VERB,4,2,1,2
5593,his,his,2017.5759999999998,2017.7959999999998,8.427771639559914,DET,4,3,2,3
5594,chair,chair,2017.7959999999998,2018.1239999999998,3.861234846596041,NOUN,4,2,17,3
5595,and,and,2019.1419999999998,2019.3169999999998,10.263048328453316,CCONJ,4,2,1,2
5596,as,as,2019.3169999999998,2019.4469999999997,8.884250056228082,SCONJ,4,2,1,2
5597,he,he,2019.4469999999997,2019.5669999999998,8.557202055435473,PRON,4,3,2,3
5598,felt,felt,2019.5669999999998,2019.8869999999997,5.2351112906442445,VERB,4,2,1,2
5599,a,a,2019.8869999999997,2019.9769999999999,9.87220326249636,DET,4,3,1,2
5600,bit,bit,2019.9769999999999,2020.2469999999998,4.220477822695196,ADV,4,1,2,2
5601,sad,sad,2020.2469999999998,2020.9269999999997,3.243256193593578,ADJ,4,1,2,2
5602,as,as,2020.9269999999997,2021.1069999999997,8.884250056228082,SCONJ,4,2,1,2
5603,he,he,2021.1069999999997,2021.2169999999996,8.557202055435473,PRON,4,3,2,3
5604,remembered,remembered,2021.2169999999996,2021.7269999999999,3.706915816600035,VERB,4,2,1,2
5605,his,his,2021.7269999999999,2021.9769999999999,8.427771639559914,DET,4,3,2,3
5606,forsaken,forsaken,2021.9769999999999,2022.5169999999998,0.910594539329274,ADJ,4,2,1,2
5607,little,little,2022.5169999999998,2022.7269999999999,6.329168168121289,ADJ,4,1,1,1
5608,planet,planet,2022.7269999999999,2023.2249999999997,2.782229599276462,NOUN,4,1,9,2
5609,he,he,2023.7039999999997,2023.7889999999998,8.557202055435473,PRON,4,2,2,2
5610,plucked,plucked,2023.7889999999998,2024.2189999999998,0.9843978778887514,VERB,4,2,1,2
5611,up,up,2024.2189999999998,2024.3589999999997,7.118745274123777,ADP,4,2,2,2
5612,his,his,2024.3589999999997,2024.5589999999997,8.427771639559914,DET,4,3,2,3
5613,courage,courage,2024.5589999999997,2025.0289999999998,3.4698835394506022,NOUN,4,2,2,2
5614,to,to,2025.0289999999998,2025.1389999999997,10.106224294072677,PART,4,3,1,2
5615,ask,ask,2025.1389999999997,2025.4789999999998,4.761233321619679,VERB,4,2,1,2
5616,the,the,2025.4789999999998,2025.5489999999998,11.115800481137065,DET,4,3,1,2
5617,king,king,2025.5489999999998,2025.7689999999998,5.549465114271844,NOUN,4,1,2,2
5618,a,a,2025.7689999999998,2025.8389999999997,9.87220326249636,DET,4,2,1,2
5619,favour,favour,2025.8389999999997,2026.3079999999998,3.58134992117127,NOUN,4,1,9,2
5620,i,i,2027.5199999999998,2027.6549999999997,8.500758884952813,PRON,4,3,2,3
5621,d,would,2027.6549999999997,2027.7149999999997,7.530855461230048,VERB,4,2,1,2
5622,like,like,2027.7149999999997,2027.9249999999997,6.800971528784123,VERB,4,2,1,2
5623,to,to,2027.9249999999997,2028.0449999999996,10.106224294072677,PART,4,3,1,2
5624,see,see,2028.0449999999996,2028.2419999999997,6.977001451718952,VERB,4,2,1,2
5625,a,a,2028.2419999999997,2028.3049999999998,9.87220326249636,DET,4,2,1,2
5626,sunset,sunset,2028.3049999999998,2029.0599999999997,2.175342456057039,NOUN,4,1,8,2
5627,do,do,2029.5439999999999,2029.6889999999999,7.253965659872986,AUX,4,3,1,2
5628,that,that,2029.6889999999999,2029.9789999999998,9.22325659724273,DET,4,3,2,3
5629,for,for,2029.9789999999998,2030.1889999999999,9.022419166371732,ADP,4,2,1,2
5630,me,me,2030.1889999999999,2030.4129999999998,6.944665633002234,PRON,4,2,6,3
5631,order,order,2030.6929999999998,2030.9079999999997,6.123873434959685,VERB,4,3,1,2
5632,the,the,2030.9079999999997,2030.9979999999998,11.115800481137065,DET,4,2,1,2
5633,sun,sun,2030.9979999999998,2031.3079999999998,4.6848128136402885,NOUN,4,1,1,1
5634,to,to,2031.3079999999998,2031.3979999999997,10.106224294072677,PART,4,3,1,2
5635,set,set,2031.3979999999997,2031.8569999999997,5.947538782539577,VERB,4,2,7,3
5636,if,if,2032.7899999999997,2032.9449999999997,7.59155894453893,SCONJ,4,4,1,2
5637,i,i,2032.9449999999997,2033.0849999999998,8.500758884952813,PRON,4,3,2,3
5638,ordered,ordered,2033.0849999999998,2033.4049999999997,4.082626169267902,VERB,4,2,1,2
5639,a,a,2033.4049999999997,2033.4449999999997,9.87220326249636,DET,4,2,1,2
5640,general,general,2033.4449999999997,2033.8949999999998,6.346530697632295,ADJ,4,1,1,1
5641,to,to,2033.8949999999998,2033.9849999999997,10.106224294072677,PART,4,4,1,2
5642,fly,fly,2033.9849999999997,2034.2949999999996,3.4478264822561586,VERB,4,2,1,2
5643,from,from,2034.2949999999996,2034.5349999999999,8.387608286867547,ADP,4,2,1,2
5644,one,one,2034.5349999999999,2034.8349999999998,7.9086812336929855,NUM,4,2,1,2
5645,flower,flower,2034.8349999999998,2035.1549999999997,3.3060071946584064,NOUN,4,1,3,2
5646,to,to,2035.1549999999997,2035.2949999999996,10.106224294072677,ADP,4,2,1,2
5647,another,another,2035.2949999999996,2035.6049999999998,6.333315151487414,DET,4,3,2,3
5648,like,like,2035.6049999999998,2035.8249999999998,6.800971528784123,SCONJ,4,2,1,2
5649,a,a,2035.8249999999998,2035.8849999999998,9.87220326249636,DET,4,2,1,2
5650,butterfly,butterfly,2035.8849999999998,2036.4739999999997,1.5949535182331267,NOUN,4,1,7,2
5651,or,or,2036.8029999999997,2036.9079999999997,8.443245206463882,CCONJ,4,1,1,1
5652,to,to,2036.9079999999997,2037.0279999999998,10.106224294072677,PART,4,2,1,2
5653,write,write,2037.0279999999998,2037.2879999999998,4.7063720664970585,VERB,4,2,1,2
5654,a,a,2037.2879999999998,2037.3479999999997,9.87220326249636,DET,4,2,1,2
5655,tragic,tragic,2037.3479999999997,2037.7679999999998,2.634834138770951,ADJ,4,1,1,1
5656,drama,drama,2037.7679999999998,2038.2479999999998,3.3971893602646164,NOUN,4,1,4,2
5657,or,or,2038.5169999999998,2038.6319999999998,8.443245206463882,CCONJ,4,1,1,1
5658,to,to,2038.6319999999998,2038.7619999999997,10.106224294072677,PART,4,2,1,2
5659,change,change,2038.7619999999997,2039.1469999999997,5.7660371397789225,VERB,4,2,1,2
5660,himself,himself,2039.1469999999997,2039.4919999999997,5.97850594594359,PRON,4,2,2,2
5661,into,into,2039.4919999999997,2039.6919999999998,7.278421881547606,ADP,4,2,1,2
5662,a,a,2039.6919999999998,2039.7419999999997,9.87220326249636,DET,4,2,1,2
5663,sea,sea,2039.7419999999997,2040.0319999999997,5.065060346074329,NOUN,4,1,1,1
5664,bird,bird,2040.0319999999997,2040.3219999999997,3.668651236266944,NOUN,4,1,11,2
5665,and,and,2040.9159999999997,2041.0599999999997,10.263048328453316,CCONJ,4,1,1,1
5666,if,if,2041.0599999999997,2041.1899999999998,7.59155894453893,SCONJ,4,2,1,2
5667,the,the,2041.1899999999998,2041.3099999999997,11.115800481137065,DET,4,3,1,2
5668,general,general,2041.3099999999997,2041.7469999999998,6.346530697632295,NOUN,4,1,2,2
5669,did,did,2041.7469999999998,2041.9299999999998,6.7723363918744015,AUX,4,2,1,2
5670,not,not,2041.9299999999998,2042.1499999999996,8.652789949703957,PART,4,1,1,1
5671,carry,carry,2042.1499999999996,2042.5109999999997,4.449381498692114,VERB,4,2,1,2
5672,out,out,2042.5109999999997,2042.6899999999998,7.190751389443204,ADP,4,2,2,2
5673,the,the,2042.6899999999998,2042.8199999999997,11.115800481137065,DET,4,2,1,2
5674,order,order,2042.8199999999997,2043.1409999999996,6.123873434959685,NOUN,4,1,7,2
5675,received,received,2043.1409999999996,2043.7299999999998,5.170995227972687,VERB,4,2,1,2
