Unnamed: 0,word,lemma,onset,offset,logfreq,pos,section,top_down,bottom_up,left_corner
7103,l',l',2638.29,2638.31,4.056551938962388,CLO,5,1,1,1
7104,avait,avait,2638.31,2638.53,2.9966648740728563,V,5,1,1,1
7105,posée,posée,2638.53,2638.9700000000003,0.5224442465481961,VPP,5,1,7,2
7106,le,le,2639.975848,2640.166357,4.229259370610864,DET,5,3,1,2
7107,businessman,businessman,2640.166357,2640.82,-0.0757206622363974,NC,5,1,2,2
7108,leva,leva,2640.82,2641.1200000000003,0.1105897439654866,V,5,2,2,2
7109,la,la,2641.1200000000003,2641.25,4.204881501436933,DET,5,2,1,2
7110,tête,tête,2641.25,2641.7200000000003,2.656222816199445,NC,5,1,4,2
7111,depuis,depuis,2642.65,2643.03,2.800125705562515,P,5,3,1,2
7112,cinquante,cinquante,2643.1200000000003,2643.48,1.0986437292775708,DET,5,3,1,2
7113,-quatre,quatre,2643.48,2643.76,2.1788043459431057,DET,5,1,2,2
7114,ans,ans,2643.76,2643.86,2.8562272595158302,NC,5,1,3,2
7115,que,que,2643.86,2644.0,3.6128791792035377,CS,5,2,1,2
7116,j',j',2644.0,2644.0800000000004,-5.958607314841776,CLS,5,2,1,2
7117,habite,habite,2644.0800000000004,2644.3700000000003,1.77488176654809,V,5,1,2,2
7118,cette,cette,2644.3700000000003,2644.53,3.2792721588850378,DET,5,2,1,2
7119,planète,planète,2644.5800000000004,2644.92,1.7426465907242208,NC,5,1,1,1
7120,-ci,ci,2644.92,2645.2400000000002,1.009875637957463,ADV,5,2,4,3
7121,je,je,2645.44,2645.59,4.414780879467412,CLS,5,2,1,2
7122,n',n',2645.59,2645.6400000000003,3.947471953809069,ADV,5,1,1,1
7123,ai,ai,2645.6400000000003,2645.82,3.867931587226076,V,5,1,1,1
7124,été,été,2645.82,2645.96,3.052205133776196,VPP,5,1,2,2
7125,dérangé,dérangé,2645.96,2646.53,1.0060379592803002,VINF,5,3,2,3
7126,que,que,2646.53,2646.67,3.6128791792035377,ADV,5,1,1,1
7127,trois,trois,2646.67,2647.06,2.5806969398264847,DET,5,2,1,2
7128,fois,fois,2647.06,2647.42,2.9538804465388435,NC,5,1,5,2
7129,la,la,2648.2000000000003,2648.34,4.204881501436933,DET,5,3,1,2
7130,première,première,2648.34,2648.6800000000003,2.371658839899964,ADJ,5,1,1,1
7131,fois,fois,2648.6800000000003,2648.9100000000003,2.9538804465388435,NC,5,1,1,1
7132,ç',ç,2648.9100000000003,2649.03,-5.958607314841776,ADJ,5,2,3,3
7133,a,a,2649.03,2649.11,4.07666264927845,V,5,2,1,2
7134,été,été,2649.11,2649.6400000000003,3.052205133776196,VPP,5,1,2,2
7135,il,il,2649.6800000000003,2649.81,4.121341164711327,CL,5,3,1,2
7136,y,y,2649.81,2649.92,3.6412737732515454,CL,5,1,1,1
7137,a,a,2649.92,2650.01,4.07666264927845,V,5,1,2,2
7138,vingt,vingt,2650.01,2650.2200000000003,1.4693801373236086,DET,5,3,1,2
7139,-deux,deux,2650.27,2650.5,3.0038954704655803,DET,5,1,2,2
7140,ans,ans,2650.5,2650.7000000000003,2.8562272595158302,NC,5,1,3,2
7141,par,par,2651.07,2651.29,3.2464000901789105,P,5,2,1,2
7142,un,un,2651.29,2651.4100000000003,4.10330930142218,DET,5,2,1,2
7143,hanneton,hanneton,2651.4100000000003,2652.04,-1.301029127075886,NC,5,1,3,2
7144,qui,qui,2652.04,2652.1600000000003,3.7416651970487536,PROREL,5,3,2,3
7145,était,était,2652.1600000000003,2652.4,3.4325780894612063,V,5,2,1,2
7146,tombé,tombé,2652.4,2652.77,1.8113738977244112,VPP,5,1,1,1
7147,dieu,dieu,2652.77,2653.11,2.930903206405401,VPP,5,1,2,2
7148,sait,sait,2653.11,2653.3500000000004,2.603642280371253,V,5,3,3,3
7149,d',d',2653.3500000000004,2653.44,3.858826430391473,P,5,2,1,2
7150,où,où,2653.44,2653.55,3.3379082992433213,PROREL,5,2,6,3
7151,il,il,2654.4500000000003,2654.6000000000004,4.121341164711327,CLS,5,3,1,2
7152,répandait,répandait,2654.6800000000003,2655.17,-0.8860563136206133,V,5,1,2,2
7153,un,un,2655.17,2655.34,4.10330930142218,DET,5,2,1,2
7154,bruit,bruit,2655.34,2655.61,1.8986703435139507,NC,5,1,1,1
7155,épouvantable,épouvantable,2655.6800000000003,2656.7000000000003,0.9790929051954562,ADJ,5,2,3,3
7156,et,et,2656.84,2656.8900000000003,4.110895292218618,CC,5,2,1,2
7157,j',j',2656.8900000000003,2657.02,-5.958607314841776,CLS,5,2,1,2
7158,ai,ai,2657.02,2657.07,3.867931587226076,V,5,1,1,1
7159,fait,fait,2657.07,2657.34,3.500538344574484,VPP,5,1,2,2
7160,quatre,quatre,2657.51,2657.88,2.1788043459431057,DET,5,2,1,2
7161,erreurs,erreurs,2657.88,2658.26,1.3583156419853268,NC,5,1,2,2
7162,dans,dans,2658.26,2658.55,3.6682544901156535,P,5,2,1,2
7163,une,une,2658.55,2658.7000000000003,3.910279072880409,DET,5,2,1,2
7164,addition,addition,2658.7000000000003,2659.2000000000003,0.91592721696768,NC,5,1,6,2
7165,la,la,2660.21,2660.31,4.204881501436933,DET,5,3,1,2
7166,seconde,seconde,2660.3700000000003,2660.76,2.0233759385510988,ADJ,5,1,1,1
7167,fois,fois,2660.76,2661.03,2.9538804465388435,NC,5,1,1,1
7168,ç',ç,2661.03,2661.1400000000003,-5.958607314841776,ADJ,5,2,3,3
7169,a,a,2661.1400000000003,2661.25,4.07666264927845,V,5,2,1,2
7170,été,été,2661.25,2661.7400000000002,3.052205133776196,VPP,5,1,2,2
7171,il,il,2661.8,2661.9700000000003,4.121341164711327,CL,5,3,1,2
7172,y,y,2661.9700000000003,2662.1200000000003,3.6412737732515454,CL,5,1,1,1
7173,a,a,2662.1200000000003,2662.28,4.07666264927845,V,5,1,2,2
7174,onze,onze,2662.3300000000004,2662.65,1.1367205703264394,DET,5,2,1,2
7175,ans,ans,2662.65,2662.8500000000004,2.8562272595158302,NC,5,1,3,2
7176,par,par,2663.1000000000004,2663.32,3.2464000901789105,P,5,2,1,2
7177,une,une,2663.32,2663.48,3.910279072880409,DET,5,2,1,2
7178,crise,crise,2663.48,2663.9100000000003,1.6385890842908657,NC,5,1,1,1
7179,de,de,2663.9100000000003,2664.06,4.401761613355665,P,5,2,1,2
7180,rhumatisme,rhumatisme,2664.06,2664.8700000000003,-0.0177287217214254,NC,5,2,7,3
7181,je,je,2665.3500000000004,2665.4900000000002,4.414780879467412,CLS,5,3,1,2
7182,manque,manque,2665.4900000000002,2665.76,2.0907869283016365,V,5,1,2,2
7183,d',d',2665.76,2665.8300000000004,3.858826430391473,P,5,2,1,2
7184,exercice,exercice,2665.8300000000004,2666.52,1.2440295915060449,N,5,1,4,2
7185,je,je,2666.9900000000002,2667.13,4.414780879467412,CLS,5,3,1,2
7186,n',n',2667.13,2667.19,3.947471953809069,ADV,5,1,1,1
7187,ai,ai,2667.19,2667.32,3.867931587226076,V,5,1,2,2
7188,pas,pas,2667.32,2667.4500000000003,4.262811902599896,ADV,5,1,1,1
7189,le,le,2667.4500000000003,2667.6200000000003,4.229259370610864,DET,5,2,1,2
7190,temps,temps,2667.6200000000003,2667.77,3.013279726622988,NC,5,1,1,1
7191,de,de,2667.77,2667.88,4.401761613355665,P,5,2,1,2
7192,flâner,flâner,2667.88,2668.36,-0.1549018979436788,NC,5,2,6,3
7193,je,je,2668.7400000000002,2668.8500000000004,4.414780879467412,CLS,5,3,1,2
7194,suis,suis,2668.8500000000004,2669.06,3.5752571417213,V,5,1,2,2
7195,sérieux,sérieux,2669.06,2669.51,2.035709838227875,ADJ,5,2,2,2
7196,moi,moi,2669.51,2669.77,3.567763687458981,PRO,5,2,4,3
7197,la,la,2670.69,2670.86,4.204881501436933,DET,5,3,1,2
7198,troisième,troisième,2670.86,2671.28,1.6534054916291712,ADJ,5,1,1,1
7199,fois,fois,2671.28,2671.67,2.9538804465388435,NC,5,1,2,2
7200,la,la,2671.8500000000004,2672.03,4.204881501436933,CLO,5,2,1,2
7201,voici,voici,2672.03,2672.52,2.4434038170435777,V,5,1,4,2
7202,je,je,2673.3,2673.4300000000003,4.414780879467412,CLS,5,3,1,2
7203,disais,disais,2673.4300000000003,2673.86,1.9928626718305185,V,5,1,2,2
7204,donc,donc,2674.03,2674.26,2.7871131835717464,ADV,5,1,1,1
7205,cinq,cinq,2674.3700000000003,2674.6800000000003,2.209407768364525,DET,5,3,1,2
7206,cent,cent,2674.6800000000003,2674.9300000000003,1.7389390319956983,DET,5,1,1,1
