sentence,onset,offset,duration
il regarda attentivement puis non celui là est très malade,383.57,388.35,4.78000000000003
fais en un autre,388.66,389.43,0.7699999999999818
je dessinai,390.18,391.02,0.839999999999975
mon ami sourit gentiment avec indulgence,391.77,394.5,2.730000000000018
tu vois bien ce n' est pas un mouton,395.0,397.06,2.0600000000000023
c' est un bélier,397.06,398.03,0.9699999999999704
il a des cornes,398.14,399.18,1.0400000000000205
je refis donc encore mon dessin,400.34,402.36,2.0200000000000387
mais il fut refusé comme les précédents,402.93,405.36,2.430000000000007
celui là est trop vieux,406.31,407.52,1.2099999999999795
je veux un mouton qui vive longtemps,407.83,409.71,1.8799999999999955
alors faute de patience comme j' avais hâte de commencer le démontage de mon moteur je griffonnai ce dessin ci et je lançai,410.69,419.7,9.009999999999991
ça c' est la caisse,420.15,421.36,1.2100000000000364
le mouton que tu veux est dedans,421.6,423.28,1.67999999999995
mais je fus bien surpris de voir s' illuminer le visage de mon jeune juge,424.25,428.47,4.220000000000027
c' est tout a fait comme ça que je le voulais,429.03,431.2,2.170000000000016
crois tu qu' il faille beaucoup d' herbe à ce mouton,431.73,433.63,1.8999999999999773
pourquoi,434.51,434.92,0.410000000000025
parce que chez moi c' est tout petit,435.67,437.27,1.599999999999966
ça suffira sûrement,438.01,439.13,1.1200000000000045
je t' ai donné un tout petit mouton,439.39,440.9,1.509999999999991
il pencha la tête vers le dessin,441.8,443.44,1.6399999999999864
pas si petit que ça,444.45,445.43,0.9800000000000182
tiens,446.06,446.4,0.339999999999975
il s' est endormi,446.77,447.55,0.7800000000000296
et c' est ainsi que je fis la connaissance de le petit prince,448.802138,452.02,3.2178619999999682
il me fallut longtemps pour comprendre d' où il venait,455.085379,458.1,3.0146210000000337
le petit prince qui me posait beaucoup de questions ne semblait jamais entendre les miennes,458.794955,464.2,5.405044999999973
ce sont des mots prononcés par hasard qui peu à peu m' ont tout révélé,464.97,469.75,4.779999999999973
ainsi quand il aperçut pour la première fois mon avion,470.53,473.68,3.150000000000034
je ne dessinerai pas mon avion,474.24,476.11,1.8700000000000045
c' est un dessin beaucoup trop compliqué pour moi,476.38,478.58,2.1999999999999886
il me demanda qu' est ce que c' est que cette chose là,479.45,482.59,3.1399999999999864
ce n' est pas une chose,483.75,484.83,1.079999999999984
ça vole,485.16,485.83,0.6699999999999591
c' est un avion,486.09,486.82,0.7300000000000182
c' est mon avion,487.22,487.99,0.7699999999999818
et j' étais fier de lui apprendre que je volais,488.91,491.05,2.1399999999999864
alors il s' écria comment tu es tombé de le ciel,491.86,495.77,3.909999999999968
oui fis je modestement,496.55,498.2,1.6499999999999773
ah ça c' est drôle,499.2,500.63,1.4300000000000068
et le petit prince eut un très joli éclat de rire qui m' irrita beaucoup,501.13,505.42,4.2900000000000205
je désire que l' on prenne mes malheurs à le sérieux,506.01,508.25,2.240000000000009
puis il ajouta alors toi aussi tu viens de le ciel,509.08,512.82,3.740000000000066
de quelle planète es tu,513.32,514.45,1.1299999999999955
j' entrevis aussitôt une lueur dans le mystère de sa présence et j' interrogeai brusquement tu viens donc d' une autre planète,515.64,523.88,8.240000000000009
mais il ne me répondit pas,525.19,526.48,1.2899999999999636
il hochait la tête doucement tout en regardant mon avion,527.01,530.12,3.1100000000000136
c' est vrai que là dessus tu ne peux pas venir de bien loin et il s' enfonça dans une rêverie qui dura longtemps,531.34,538.53,7.189999999999941
puis sortant mon mouton de sa poche il se plongea dans la contemplation de son trésor,539.33,544.45,5.1200000000000045
vous imaginez combien j' avais pu être intrigué par cette demi confidence sur les autres planètes je m' efforçai donc d' en savoir plus long,545.84,555.34,9.5
d' où viens tu mon petit bonhomme,556.16,558.05,1.8899999999999864
où est ce chez toi,558.59,559.55,0.9599999999999227
où veux tu emporter mon mouton,560.23,561.79,1.5599999999999454
il me répondit après un silence méditatif ce qui est bien avec la caisse que tu m' as donnée c' est que la nuit ça lui servira de maison,562.95,571.33,8.379999999999995
bien sûr et si tu es gentil je te donnerai aussi une corde pour l' attacher pendant le jour et un piquet,572.19,578.7,6.509999999999991
la proposition parut choquer le petit prince,579.51,582.03,2.519999999999982
l' attacher,582.55,583.42,0.8700000000000045
quelle drôle d' idée,583.74,584.64,0.8999999999999773
mais si tu ne l' attaches pas il ira n' importe où et il se perdra,585.49,588.93,3.439999999999941
et mon ami eut un nouvel éclat de rire,590.11,592.59,2.480000000000018
mais où veux tu qu' il aille,593.36,594.62,1.259999999999991
n' importe où droit devant lui,595.37,597.05,1.67999999999995
alors le petit prince remarqua gravement,597.84,600.32,2.480000000000018
ça ne fait rien c' est tellement petit chez moi,601.03,603.45,2.4200000000000728
et avec un peu de mélancolie peut être il ajouta droit devant soi on ne peut pas aller bien loin,604.34,610.38,6.039999999999964
j' avais ainsi appris une seconde chose très importante c' est que sa planète d' origine était à peine plus grande qu' une maison,613.49,621.9399999999999,8.449999999999932
ça ne pouvait pas m' étonner beaucoup,622.65,624.24,1.5900000000000318
je savais bien qu' en dehors des grosses planètes comme la terre jupiter mars vénus auxquelles on a donné des noms il y en a des centaines d' autres qui sont quelquefois si petites qu' on a beaucoup de mal à les apercevoir à le télescope,624.88,638.79,13.909999999999968
quand un astronome découvre l' une d' elles il lui donne pour nom un numéro,639.83,644.42,4.589999999999918
il l' appelle par exemple l' astéroïde 325,645.15,649.475174,4.325174000000061
j' ai de sérieuses raisons de croire que la planète d' où venait le petit prince est l' astéroïde b 612,650.563234,657.3199999999999,6.7567659999999705
cet astéroïde n' a été aperçu qu' une fois à le télescope en 1909 par un astronome turc,658.28,664.95,6.670000000000073
il avait fait alors une grande démonstration de sa découverte à un congrès international d' astronomie mais personne ne l' avait cru à cause de son costume,665.74,675.44,9.700000000000045
les grandes personnes sont comme ça,676.06,677.42,1.3600000000000136
heureusement pour la réputation de l' astéroïde b 612 un dictateur turc imposa à son peuple sous peine de mort de s' habiller à l' européenne,678.65,688.88,10.230000000000018
l' astronome refit sa démonstration en 1920 dans un habit très élégant et cette fois ci tout le monde fut de son avis,689.91,698.21,8.300000000000068
si je vous ai raconté ces détails sur l' astéroïde b 612 et si je vous ai confié son numéro c' est à cause des grandes personnes,699.585748,707.91,8.324252000000001
les grandes personnes aiment les chiffres,708.68,710.66,1.9800000000000182
quand vous leur parlez d' un nouvel ami elles ne vous questionnent jamais sur l' essentiel,711.4,715.71,4.310000000000059
elles ne vous disent jamais quel est le son de sa voix,716.35,719.15,2.7999999999999545
quels sont les jeux qu' il préfère,719.67,721.19,1.5200000000000955
est ce qu' il collectionne les papillons,721.64,723.22,1.580000000000041
elles vous demandent quel âge a t il,724.04,726.17,2.1299999999999955
combien a t il de frères,726.55,727.8199999999999,1.2699999999999818
combien pèse t il,728.1,729.21,1.1100000000000136
combien gagne son père,729.78,731.0699999999999,1.2899999999999636
alors seulement elles croient le connaître,732.27,734.59,2.32000000000005
si vous dites à les grandes personnes j' ai vu une belle maison en briques roses avec des géraniums à les fenêtres et des colombes sur le toit elles ne parviennent pas à s' imaginer cette maison,735.29,746.13,10.840000000000032
il faut leur dire j' ai vu une maison de cent mille francs alors elles s' écrient comme c' est joli,746.6800000000001,753.71,7.029999999999973
ainsi si vous leur dites la preuve que le petit prince a existé c' est qu' il était ravissant,754.99,761.31,6.319999999999936
qu' il riait et qu' il voulait un mouton,761.64,763.78,2.1399999999999864
quand on veut un mouton c' est la preuve qu' on existe,764.39,767.01,2.6200000000000045
elles hausseront les épaules et vous traiteront d' enfant,767.91,770.71,2.800000000000068
mais si vous leur dites la planète d' où il venait est l' astéroïde b 612 alors elles seront convaincues et elles vous laisseront tranquille avec leurs questions,771.51,781.63,10.120000000000005
elles sont comme ça,782.24,782.97,0.7300000000000182
il ne faut pas leur en vouloir,783.5699999999999,784.89,1.32000000000005
les enfants doivent être très indulgents envers les grandes personnes,785.48,788.8299999999999,3.349999999999909
mais bien sûr nous qui comprenons la vie nous nous moquons bien des numéros,789.73,794.0,4.269999999999982
j' aurais aimé commencer cette histoire à la façon des contes de fées,794.97,798.26,3.2899999999999636
j' aurais aimé dire il était une fois un petit prince qui habitait une planète à peine plus grande que lui et qui avait besoin d' un ami,798.71,806.6800000000001,7.970000000000027
pour ceux qui comprennent la vie ça aurait eu l' air beaucoup plus vrai,807.73,810.88,3.1499999999999773
car je n' aime pas qu' on lise mon livre à la légère,811.8299999999999,814.0799999999999,2.25
j' éprouve tant de chagrin à raconter ces souvenirs,814.65,817.62,2.9700000000000273
il y a six ans déjà que mon ami s' en est allé avec son mouton,818.572971,822.22,3.647028999999975
si j' essaie ici de le décrire c' est afin de ne pas l' oublier,823.16,826.88,3.7200000000000273
c' est triste d' oublier un ami,827.56,829.2,1.6400000000001
tout le monde n' a pas eu un ami et je puis devenir comme les grandes personnes qui ne s' intéressent plus qu' à les chiffres,829.84,836.13,6.289999999999964
c' est donc pour ça encore que j' ai acheté une boîte de couleurs et des crayons,837.21,841.26,4.0499999999999545
